date,open,high,low,close,volume
2021-05-14,191.62603386413926,191.7135352168853,188.64115175736757,189.59397888183594,1103100
2021-05-17,189.16618274762615,195.75821864507162,188.80644505831754,193.83311462402344,1596600
2021-05-18,192.72467480971264,193.85251926123792,190.35231745849185,191.82044982910156,1069500
2021-05-19,191.05239548163576,193.31780225669732,187.24107212051297,193.2303009033203,1469600
2021-05-20,192.89970286882928,196.11795140011856,191.88854156816276,194.85398864746094,1117700
2021-05-21,195.70958628587582,198.7819844676084,194.75675919662277,197.06105041503906,1157500
2021-05-24,197.88750297311532,198.09168763613312,194.05672987080067,194.1053466796875,916200
2021-05-25,194.19287844929178,194.74708345302201,190.28433564351113,190.5857391357422,914600
2021-05-26,190.13845457870528,190.5954258758532,185.7048746058179,188.91339111328125,1361300
2021-05-27,190.2745905479983,190.2745905479983,188.03835066165783,188.92312622070312,1290200
2021-05-28,189.1861791545354,191.26160453055192,187.373826445118,187.46151733398438,1265400
2021-06-01,184.27529402714373,187.89999969775056,183.2522038501673,186.91587829589844,1060700
2021-06-02,186.97431635403646,188.0851121599748,185.6199248462002,186.47738647460938,1044200
2021-06-03,186.38968880261808,189.96568694525814,185.65890166524358,188.89385986328125,1158200
2021-06-04,189.40054548587378,190.31646775507906,187.6076697200687,189.94619750976562,1126700
2021-06-07,190.78418406175783,191.5929236921943,189.42979235967846,190.03390502929688,1041300
2021-06-08,187.90975102925654,190.41390738848858,185.8050803654071,187.0133056640625,1080900
2021-06-09,187.54923798968102,187.8025870882641,185.56150318704806,185.66868591308594,1053000
2021-06-10,186.48713430317582,190.97903986617283,185.94148228242258,190.5015869140625,1244300
2021-06-11,191.57340204572935,192.8985632425174,189.45899316333615,190.49183654785156,939100
2021-06-14,190.0826251314953,190.0826251314953,186.24355398090347,187.9682159423828,949500
2021-06-15,188.4748907219677,189.98518729881985,187.28615717721956,189.28363037109375,1102300
2021-06-16,189.41026008809047,189.7610384689365,185.56145124163314,186.51634216308594,919600
2021-06-17,186.7989324519942,187.07175844557202,182.97933880610188,184.548095703125,1155900
2021-06-18,182.7942557217132,183.65170264672787,179.70544854528484,180.15367126464844,2471500
2021-06-21,180.7577831419165,184.3727505770837,180.57266286283635,183.88555908203125,1323000
2021-06-22,183.74914306672474,187.41281769742952,182.78449856977952,185.23020935058594,1612000
2021-06-23,185.13277845309997,185.26919148461235,183.5250523768536,183.9927520751953,1136300
2021-06-24,184.479910190233,184.6650453140251,182.7650016949269,184.1388702392578,1045000
2021-06-25,184.87942698100977,187.9974494591598,184.3142830837351,186.4384307861328,4423500
2021-06-28,186.4871493485103,188.29950220245837,185.59071883239346,187.13998413085938,1167300
2021-06-29,188.1825581274905,189.55642659928964,186.6527699688372,186.88662719726562,1174200
2021-06-30,186.7112588341739,187.8123163414014,185.56149407306174,186.34100341796875,1048000
2021-07-01,186.9938340573804,189.00106054000042,186.33124592519204,187.73435974121094,1073500
2021-07-02,187.42256356834338,188.445653756174,186.0194497625253,187.64666748046875,771000
2021-07-06,186.7502608949581,186.94513453342608,181.8783455937304,184.48968505859375,1330700
