date,open,high,low,close,volume
2019-03-27,186.63293617811925,189.49907961021518,185.4426751055547,187.05191040039062,528700
2019-03-28,187.30899725669659,189.39432229955383,186.71861792748513,188.45164489746094,404200
2019-03-29,190.4703494628986,194.069698024893,190.22278037387355,191.5653839111328,1004400
2019-04-01,194.15536840100472,195.25993409548778,192.5651814494289,194.25059509277344,813000
2019-04-02,194.86956756525515,197.78333933291594,194.05066723765566,195.61228942871094,1019800
2019-04-03,195.75504142347432,196.8119935273955,191.9366902521446,192.97459411621094,557100
2019-04-04,193.06987000095222,196.8120585074952,192.41285806931236,194.0792236328125,452900
2019-04-05,194.8695302081717,196.9167878994831,194.42199089809475,195.98362731933594,446100
2019-04-08,195.08854869918204,196.9453530018664,195.08854869918204,195.98362731933594,320100
2019-04-09,195.85980563463045,196.51683194829266,193.83159649759517,195.18373107910156,357400
2019-04-10,194.840988944741,195.31709341545306,193.07941112083967,195.05047607421875,289300
2019-04-11,195.84081055774243,197.96423242145448,194.86955337259374,197.30722045898438,528000
2019-04-12,200.9065321149764,204.13451924002635,198.46886547712737,202.02061462402344,736300
2019-04-15,201.7730406053226,202.86808945226517,199.59248882798505,201.5349884033203,450600
2019-04-16,199.58298008031048,201.9920673000992,198.42128412497118,201.87779235839844,566400
2019-04-17,202.43957753493558,202.43957753493558,197.81184262367665,199.59246826171875,469500
2019-04-18,200.3732845816904,202.98234184323326,200.03050337271603,201.4588165283203,465400
2019-04-22,200.47803637504956,202.31580693289825,198.9354627529941,202.01109313964844,279200
2019-04-23,202.02062517557872,203.5251168430873,200.66849040518449,201.98252868652344,351100
2019-04-24,202.49670710378345,205.62946735659514,202.2967368823244,203.8107452392578,496900
2019-04-25,203.02995506623566,204.18211954118448,200.42089780625324,202.2015380859375,374700
2019-04-26,202.59194515280294,204.62967146493045,201.8968367761639,204.039306640625,799000
2019-04-29,203.72503156205735,205.29618450447634,203.15371510717358,203.9821319580078,922700
2019-04-30,215.49437996385325,216.3227970040742,209.18123071374518,211.29513549804688,1415800
2019-05-01,212.81866357489832,216.4465767231916,208.06713650426488,208.6860809326172,935200
2019-05-02,210.0096977568263,213.61856347211884,209.2574445106297,212.2854766845703,726500
2019-05-03,212.69485729722965,214.2564790180244,209.77158407999372,210.8571014404297,419500
2019-05-06,207.82908212363162,211.942631008247,206.37220385938522,210.25721740722656,659600
2019-05-07,207.95288539519154,210.01917680869778,207.33395546872535,209.7144775390625,488300
2019-05-08,209.26691662589658,210.22864221239934,205.5342601484578,205.81039428710938,463100
2019-05-09,204.124990545157,207.1054086617928,202.67764366774114,206.57217407226562,506900
2019-05-10,205.91514292594974,208.21948636566725,203.27752061071604,205.5532989501953,606000
2019-05-13,202.24914429109955,204.22022349086447,200.5827788830011,202.33485412597656,699300
2019-05-14,203.31558542617617,206.50547553548316,202.38241053191598,205.37234497070312,652000
2019-05-15,203.61080182131832,207.2767968462768,202.59193146929448,206.9244842529297,624300
2019-05-16,207.33393728528924,210.09533683288083,207.0197066560167,209.11456298828125,767500
2019-05-17,207.49578557842378,209.69538518399247,206.5911902878915,207.13394165039062,395100
2019-05-20,206.17227375473036,209.06698239889064,205.1534032641738,207.30540466308594,493400
2019-05-21,207.98142885237482,212.05688105028233,207.98142885237482,209.79063415527344,412700
