date,open,high,low,close,volume
2016-05-16,70.3509500100837,71.5672706617268,70.3509500100837,71.13347625732422,2302900
2016-05-17,71.15896197576498,71.66079708377387,70.24034129843187,70.76769256591797,2537400
2016-05-18,70.47003632815905,70.69118732783328,69.67900245371176,70.25739288330078,2672600
2016-05-19,69.90012351163142,70.88678529866799,69.47483680408666,69.95966339111328,5062000
2016-05-20,68.72634814019865,68.85392898623014,65.91945271899989,66.12358856201172,12350200
2016-05-23,65.9194601194155,67.33991660583212,65.70681669967546,66.24267578125,4604000
2016-05-24,67.18680332034724,67.81623242364887,66.69347559015677,67.73967742919922,3377600
2016-05-25,68.19898602495705,68.79438490134743,68.00335125736532,68.46266174316406,2923600
2016-05-26,68.76036224444145,68.96450456752666,68.14795474326928,68.2755355834961,2501000
2016-05-27,68.21598626477123,68.47116088867188,67.89277069860931,68.47116088867188,1743800
2016-05-31,69.83207184566757,70.69966031048139,69.62793605544775,69.99368286132812,6380000
2016-06-01,69.71299411640786,70.60609876973955,69.19414383047003,70.45299530029297,2452000
2016-06-02,70.36794120788471,71.56724634395918,70.10425903748299,71.49919891357422,2830800
2016-06-03,72.18817052094356,73.31942826943204,72.12863063944417,72.7835693359375,4244400
2016-06-06,72.93669255468626,74.68887224675106,72.89416127523606,74.40818786621094,4967700
2016-06-07,74.23804127176888,74.72286782379781,74.0424130344616,74.26355743408203,2455800
2016-06-08,74.82493834170477,75.02056657738923,73.50654705867797,74.15298461914062,3511300
2016-06-09,73.39598420815157,74.13598545014591,73.1152934105647,73.95735931396484,1802200
2016-06-10,73.20032960570678,73.56607635172536,72.3837800891125,72.86860656738281,3538300
2016-06-13,72.84310608232524,73.88931422862701,72.55391423873488,72.5709228515625,2771500
2016-06-14,72.2987584829413,72.63048167918467,71.1419778280653,72.42634582519531,3168100
2016-06-15,72.77505155041167,72.96217872005494,72.07758168406103,72.15413665771484,1466000
2016-06-16,71.7118413740063,72.56241477515208,70.72517960314441,72.40081024169922,2075500
2016-06-17,72.84309273192437,73.60860995606852,72.6814817375609,73.14929962158203,3526100
2016-06-20,73.79575108082301,73.99137933164388,72.69000304889934,72.80057525634766,3069700
2016-06-21,72.63048282828365,72.63899038173166,71.48220970855404,71.52473449707031,3536100
2016-06-22,71.92450885211197,72.1711759999145,71.35462603961763,71.38014221191406,2177600
2016-06-23,72.23919061147238,72.25619922215027,71.04838669388243,71.69482421875,2285000
2016-06-24,69.38979320551915,70.7337009998371,69.2366897037695,69.50887298583984,4897600
2016-06-27,69.17716832248736,69.21119205301963,67.85877634415499,68.53923797607422,3361800
2016-06-28,69.3533105647953,70.14170693807229,68.59062177398826,69.73893737792969,2537900
2016-06-29,70.29597048020096,70.51020908658364,69.02768159171974,69.85035705566406,2821400
2016-06-30,70.17598058046045,70.22739574150735,68.41065697873692,69.44757080078125,4921400
2016-07-01,69.60180834493664,69.73891759189058,68.84768460354829,69.32758331298828,2734300
2016-07-05,68.77915346547398,69.01052824810988,67.36517757279877,67.8450698852539,2990700
2016-07-06,67.7422307756791,68.11928617029919,67.05666481412004,68.1021499633789,2387300
2016-07-07,68.2564257007153,68.70203915397495,67.73368294440381,68.0164794921875,2167500
2016-07-08,68.74486523777789,69.49041118864412,68.55633427244203,69.38758087158203,1974900
2016-07-11,69.38759554003587,69.75608617617038,68.97625457070596,69.40473175048828,2314700
