date,open,high,low,close,volume
2018-12-27,33.284603078133934,33.701820373535156,32.218386840947616,33.701820373535156,24993253
2018-12-28,33.330947825693876,35.463386655739306,33.330947825693876,34.81438064575195,25388083
2018-12-31,34.86074036411404,35.324314539669516,34.07266684864624,35.092529296875,22610937
2019-01-02,34.58259972787596,37.92032952365864,34.35081447398826,37.317684173583984,26991297
2019-01-03,37.17860838009618,38.01304256985939,36.06603192038935,37.364036560058594,25654795
2019-01-04,37.9666829925813,38.291186007376425,36.99317763816219,38.15211486816406,25056937
2019-01-07,39.63556571787014,40.748142612761136,38.430271006765224,40.516353607177734,37493322
2019-01-08,41.30441134383194,41.90705656673207,39.4964719851657,39.68190383911133,30669237
2019-01-09,39.49648073460842,40.6090573448819,37.920329921726555,39.40376663208008,24268716
2019-01-10,39.40376781279467,41.48984994205753,39.357410760141434,41.4434928894043,23441412
2019-01-11,41.11898983086484,41.48984994205753,40.42363035109948,41.4434928894043,16832625
2019-01-14,40.84084333418566,41.721630934400274,40.60905440468024,41.258060455322266,17043123
2019-01-15,41.30442025987723,41.39713436188055,40.330914808909085,40.46998596191406,19626381
2019-01-16,40.37726999492602,41.72163179181275,40.14548106065717,41.6289176940918,17583057
2019-01-17,41.258055768302334,42.602417384838475,40.56269274874752,42.37063217163086,22074822
2019-01-18,42.787860058953704,42.88057786563074,41.86071520188842,41.999786376953125,19350175
2019-01-22,41.628913789206855,41.67527083371894,39.68190684980107,40.145477294921875,22571396
2019-01-23,40.28455775790743,40.97991721289897,39.9136976599275,40.46998596191406,15104193
2019-01-24,40.006418833953454,41.582569916529515,39.913704715560854,40.701778411865234,18848780
2019-01-25,41.026276295936306,42.69514128455505,40.97991924263858,42.463356018066406,23434130
2019-01-28,41.62892195626612,41.72163606347959,40.56270234337742,41.39713668823242,19120938
2019-01-29,41.258060455322266,42.32427624716809,40.09912318772803,41.258060455322266,23885070
2019-01-30,41.62892660102218,43.0196494342951,41.16535232326454,42.18521499633789,18035624
2019-01-31,46.07923171996487,49.92689294963873,45.24479738583473,47.099090576171875,72747847
2019-02-01,47.28452768189186,48.35074739841514,46.171950907256026,47.2381706237793,33002372
2019-02-04,47.60902152761216,47.93352458646305,46.82094794178397,47.33087921142578,21543088
2019-02-05,47.516306402405256,49.37060323038402,47.14544629881616,49.27788543701172,21455283
2019-02-06,49.46332329999074,50.575900054988864,48.35074654499262,48.53617477416992,25140965
2019-02-07,48.304397798786816,48.397111929327544,46.21831510174934,46.63553237915039,22682446
2019-02-08,46.403733884141836,46.820951076319744,44.224937501616886,45.476585388183594,24736786
2019-02-11,45.75473567959144,47.05274074299845,45.56930374912803,46.49645233154297,14749801
2019-02-12,46.68187704820221,47.05273347188541,45.94015682090219,46.2646598815918,14005879
2019-02-13,46.26465396992826,48.304378799418565,46.12558282881747,48.07258987426758,20644401
2019-02-14,47.7017382649589,47.74809531662844,46.12558743829446,46.54280090332031,19486347
2019-02-15,46.91366834473044,47.65538497742673,46.63552599120706,46.77459716796875,16347527
2019-02-19,46.496447727353015,47.052736083723495,46.125591283084034,46.96002197265625,13264315
2019-02-20,46.77460012198968,46.960028369382535,46.403739937236445,46.82095718383789,10151119
2019-02-21,46.49645233154297,47.28452973358588,46.35738115117094,46.49645233154297,10335701
