Date,close
2024-05-13,110.27120208740234
2024-05-14,110.94059753417969
2024-05-15,111.79855346679688
2024-05-16,111.12915802001953
2024-05-17,112.79792785644531
2024-05-20,111.8833999633789
2024-05-21,111.11029052734375
2024-05-22,108.87582397460938
2024-05-23,107.01849365234375
2024-05-24,106.93363952636719
2024-05-28,108.2912826538086
2024-05-29,107.1316146850586
2024-05-30,107.47103881835938
2024-05-31,110.55403137207031
2024-06-03,107.90473175048828
2024-06-04,106.22652435302734
2024-06-05,106.65079498291016
2024-06-06,107.45218658447266
2024-06-07,106.30196380615234
2024-06-10,106.61307525634766
2024-06-11,105.75513458251953
2024-06-12,104.5860366821289
2024-06-13,103.74693298339844
2024-06-14,102.8701171875
2024-06-17,102.16301727294922
2024-06-18,103.12467956542969
2024-06-20,105.34971618652344
2024-06-21,104.4257583618164
2024-06-24,107.52760314941406
2024-06-25,107.82931518554688
2024-06-26,107.86701965332031
2024-06-27,108.32898712158203
2024-06-28,108.53641510009766
2024-07-01,108.38557434082031
2024-07-02,107.6501693725586
2024-07-03,108.19700622558594
2024-07-05,106.8864974975586
2024-07-08,105.76454162597656
2024-07-09,104.59546661376953
2024-07-10,105.51942443847656
2024-07-11,106.77336120605469
2024-07-12,106.7922134399414
2024-07-15,108.62126922607422
2024-07-16,109.40380859375
2024-07-17,110.91230773925781
2024-07-18,112.0059585571289
2024-07-19,109.43208312988281
2024-07-22,108.6778335571289
2024-07-23,106.92422485351562
2024-07-24,108.43270874023438
2024-07-25,110.71430206298828
2024-07-26,110.62003326416016
2024-07-29,109.46037292480469
2024-07-30,111.41199493408203
2024-07-31,111.8079605102539
2024-08-01,110.26174926757812
2024-08-02,110.19577026367188
2024-08-05,108.20642852783203
2024-08-06,107.6313247680664
2024-08-07,109.06438446044922
2024-08-08,111.14800262451172
2024-08-09,112.0531005859375
2024-08-12,112.19452667236328
2024-08-13,111.11972045898438
2024-08-14,112.14738464355469
2024-08-15,112.84117889404297
2024-08-16,112.30895233154297
2024-08-19,112.65109252929688
2024-08-20,108.89701843261719
2024-08-21,108.20320892333984
2024-08-22,109.0395736694336
2024-08-23,110.55070495605469
2024-08-26,112.91720581054688
2024-08-27,111.84325408935547
2024-08-28,110.74078369140625
2024-08-29,112.27093505859375
2024-08-30,112.0903549194336
2024-09-03,109.74286651611328
2024-09-04,108.40279388427734
2024-09-05,107.55693817138672
2024-09-06,107.05323028564453
2024-09-09,109.30567932128906
2024-09-10,105.32350158691406
2024-09-11,104.27806091308594
2024-09-12,105.71317291259766
2024-09-13,105.63713836669922
2024-09-16,107.1197509765625
2024-09-17,108.51685333251953
2024-09-18,108.89701843261719
2024-09-19,110.24658203125
2024-09-20,109.55278015136719
2024-09-23,111.53913116455078
2024-09-24,111.2445068359375
2024-09-25,109.07758331298828
2024-09-26,107.20530700683594
2024-09-27,110.07550811767578
2024-09-30,111.40605926513672
2024-10-01,113.9816665649414
2024-10-02,115.49279022216797
2024-10-03,116.5002212524414
2024-10-04,118.63863372802734
2024-10-07,119.15184020996094
2024-10-08,115.98700714111328
2024-10-09,116.03451538085938
2024-10-10,117.03244018554688
2024-10-11,117.4791259765625
2024-10-14,117.92582702636719
2024-10-15,114.38082885742188
2024-10-16,114.67545318603516
2024-10-17,114.38082885742188
2024-10-18,114.05769348144531
2024-10-21,114.12422180175781
2024-10-22,114.71347045898438
2024-10-23,114.30479431152344
2024-10-24,113.65850830078125
2024-10-25,113.56348419189453
2024-10-28,113.00274658203125
2024-10-29,111.46309661865234
2024-10-30,110.90235137939453
2024-10-31,110.98789978027344
2024-11-01,109.2486572265625
2024-11-04,112.72712707519531
2024-11-05,113.05977630615234
2024-11-06,114.99858093261719
2024-11-07,115.14115142822266
2024-11-08,115.10313415527344
2024-11-11,114.494873046875
2024-11-12,114.38082885742188
2024-11-13,115.44528198242188
2024-11-14,115.52192687988281
2024-11-15,114.32416534423828
2024-11-18,115.28238677978516
2024-11-19,113.6725845336914
2024-11-20,115.2919692993164
2024-11-21,116.83467864990234
2024-11-22,116.7005386352539
2024-11-25,114.95658874511719
2024-11-26,113.0401611328125
2024-11-27,112.74312591552734
2024-11-29,113.03058624267578
2024-12-02,112.92517852783203
2024-12-03,112.75271606445312
2024-12-04,109.5043716430664
2024-12-05,109.98346710205078
2024-12-06,108.82404327392578
2024-12-09,108.18204498291016
2024-12-10,107.9616470336914
2024-12-11,107.24298858642578
2024-12-12,107.14716339111328
2024-12-13,106.20811462402344
2024-12-16,103.93716430664062
2024-12-17,103.49639129638672
2024-12-18,101.97282409667969
2024-12-19,101.10086059570312
2024-12-20,101.44580841064453
2024-12-23,101.85784912109375
2024-12-24,101.95366668701172
2024-12-26,102.03990173339844
2024-12-27,102.03031921386719
2024-12-30,101.34041595458984
2024-12-31,103.07477569580078
2025-01-02,102.82563018798828
2025-01-03,103.35265350341797
2025-01-06,103.23766326904297
2025-01-07,104.20545196533203
2025-01-08,102.46151733398438
2025-01-10,102.08781433105469
2025-01-13,104.72289276123047
2025-01-14,105.13493347167969
2025-01-15,106.85013580322266
2025-01-16,106.66806030273438
2025-01-17,107.62627410888672
2025-01-21,106.8117904663086
2025-01-22,104.95286560058594
2025-01-23,105.54696655273438
2025-01-24,104.11921691894531
2025-01-27,105.56612396240234
2025-01-28,103.52513122558594
2025-01-29,104.12879943847656
2025-01-30,104.99119567871094
2025-01-31,102.36570739746094
2025-02-03,102.61483001708984
2025-02-04,105.3648910522461
2025-02-05,105.28823852539062
2025-02-06,103.8988265991211
2025-02-07,104.33961486816406
2025-02-10,106.33269500732422
2025-02-11,107.00343322753906
2025-02-12,103.7840576171875
2025-02-13,104.53814697265625
2025-02-14,104.64448547363281
2025-02-18,106.48137664794922
2025-02-19,106.63606262207031
2025-02-20,108.27959442138672
2025-02-21,107.01311492919922
2025-02-24,107.57383728027344
2025-02-25,106.08499908447266
2025-02-26,105.82395935058594
2025-02-27,106.49104309082031
2025-02-28,107.63185119628906
2025-03-03,104.18043518066406
2025-03-04,103.96774291992188
2025-03-05,101.93750762939453
2025-03-06,104.04508972167969
2025-03-07,105.3985824584961
2025-03-10,108.08623504638672
2025-03-11,105.53392791748047
2025-03-12,105.50492095947266
2025-03-13,105.06021118164062
2025-03-14,108.18292236328125
2025-03-17,109.98112487792969
2025-03-18,109.86510467529297
2025-03-19,111.5763168334961
2025-03-20,112.05004119873047
2025-03-21,111.663330078125
2025-03-24,111.95336151123047
2025-03-25,112.71710968017578
2025-03-26,114.34130859375
2025-03-27,113.97393798828125
2025-03-28,113.81925964355469
2025-03-31,114.97938537597656
2025-04-01,115.08574676513672
2025-04-02,114.72802734375
2025-04-03,108.69529724121094
2025-04-04,100.87403106689453
2025-04-07,99.52054595947266
2025-04-08,97.4226303100586
2025-04-09,102.2855453491211
2025-04-10,96.61054229736328
2025-04-11,99.71390533447266
2025-04-14,99.95559692382812
2025-04-15,99.67523193359375
2025-04-16,100.7290267944336
2025-04-17,103.36833953857422
2025-04-21,101.8504867553711
2025-04-22,104.70249938964844
2025-04-23,103.80339050292969
2025-04-24,105.02153015136719
2025-04-25,104.9635238647461
2025-04-28,105.02153015136719
2025-04-29,104.76050567626953
2025-04-30,102.12118530273438
2025-05-01,102.26620483398438
2025-05-02,102.68192291259766
2025-05-05,99.8395767211914
2025-05-06,101.23175048828125
2025-05-07,101.13506317138672
2025-05-08,102.54656982421875
2025-05-09,103.74537658691406
2025-05-12,105.53392791748047
2025-05-13,105.82395935058594
2025-05-14,104.87652587890625
2025-05-15,105.94002532958984
2025-05-16,105.55950164794922
2025-05-19,103.88131713867188
2025-05-20,102.39826965332031
2025-05-21,101.13964080810547
2025-05-22,100.46641540527344
2025-05-23,100.52495574951172
2025-05-27,101.00303649902344
2025-05-28,99.62732696533203
2025-05-29,100.19322204589844
2025-05-30,99.81271362304688
2025-06-02,100.54447937011719
2025-06-03,101.2762451171875
2025-06-04,99.81271362304688
2025-06-05,99.35414123535156
2025-06-06,101.73480987548828
