date,open,high,low,close,volume
2021-05-14,183.45939528767266,183.92324576960178,179.37564304337917,180.91273498535156,3743000
2021-05-17,179.7576590376698,180.72174869718654,174.74620529896308,176.56524658203125,5798800
2021-05-18,176.4469898189243,178.26603095107814,174.37328403852348,175.31008911132812,5691500
2021-05-19,172.39051891050914,174.30960782580146,169.5164445204293,173.46376037597656,6797900
2021-05-20,174.40963753590026,177.25644100239424,174.06402920000218,175.9103546142578,4397700
2021-05-21,176.76535379842767,178.14781527171584,174.01859739539472,175.05545043945312,4032700
2021-05-24,175.75575967874352,176.0104243277061,173.27275853408463,173.40919494628906,3396200
2021-05-25,173.87300012145099,175.83756736841184,173.36367095627867,175.5556182861328,4089300
2021-05-26,175.16458142368836,176.67438905733633,175.10092219383688,176.0832061767578,3565600
2021-05-27,176.75622774605839,177.92041298847604,176.05590688557058,176.23780822753906,5126500
2021-05-28,179.17553152205147,179.93952538153434,177.06543738270148,177.20187377929688,3619400
2021-06-01,177.35651568962965,178.35699389351095,174.20956833047984,174.4915313720703,4105600
2021-06-02,174.90078145617198,175.70114999737058,172.86345069692564,173.50921630859375,3997700
2021-06-03,172.8088671924895,173.56377075139608,171.42639236905939,173.08172607421875,3469200
2021-06-04,173.15449595640462,174.07310655239428,171.25358779754163,172.72702026367188,4210500
2021-06-07,172.76341122382354,173.818458304202,171.48098402499355,173.03627014160156,2913500
2021-06-08,173.86392308260457,175.25548818505322,173.03625618742322,174.0821990966797,3604600
2021-06-09,174.62795278773905,175.08271308145711,173.13633957947107,173.35462951660156,3638900
2021-06-10,173.60018973713673,174.30961468366925,170.39868726802996,171.6992950439453,3905800
2021-06-11,172.69974591245733,174.3459756914392,172.17222239088525,173.54559326171875,3127800
2021-06-14,172.91802067620685,173.26364288255462,171.18084719262305,172.49964904785156,3257700
2021-06-15,172.32685636146093,172.49056339574412,169.85295940340313,170.88072204589844,4472600
2021-06-16,170.9898619194295,171.171763252218,167.87930333074513,169.35272216796875,4175800
2021-06-17,169.62559603114676,171.13540359468126,167.77018006835954,169.93482971191406,4260900
2021-06-18,168.01572913446074,170.8989076437907,167.7974530821344,169.97120666503906,9316900
2021-06-21,170.96258562171164,173.30004631054388,170.7079209679443,171.79025268554688,4539400
2021-06-22,172.7361360400153,175.24640768701906,172.41781218391634,174.37327575683594,3995700
2021-06-23,173.85483911027868,174.78255391196748,173.58199406111862,173.8457489013672,2835900
2021-06-24,175.24643655333574,175.61934335990486,173.65477537611957,174.4005889892578,2767800
2021-06-25,174.7370920742657,175.41014230995614,173.90033479318677,175.22824096679688,4149500
2021-06-28,175.16455767599888,176.6016017962885,174.064045593073,175.7284698486328,2510600
2021-06-29,175.57384380478524,178.12960825074296,175.57384380478524,176.62889099121094,2628800
2021-06-30,176.5652348757142,177.59298369534287,176.31057022322366,176.41970825195312,2715900
2021-07-01,176.90175162039887,178.35699008988598,176.31056879864744,178.10232543945312,2456300
2021-07-02,178.62074087417156,178.73898298709688,177.54751328300506,178.0022735595703,2553000
2021-07-06,178.0841191871515,178.6116427499729,175.33736335252325,177.12911987304688,2588300
2021-07-07,176.14684433489606,178.6844144567622,175.80122208275517,178.15689086914062,3647100
2021-07-08,175.8921893881437,176.5834200523571,173.86396232324384,175.35557556152344,3993600
2021-07-09,176.61068979247014,178.94816421528478,176.61068979247014,177.65664672851562,2436300
2021-07-12,177.2655784022575,178.64805374843323,176.72896452146412,177.87496948242188,2405600
2021-07-13,178.20236358732055,178.40245922855433,176.21052514115618,176.70166015625,3191900
2021-07-14,177.51113858745916,177.72032444516648,175.17367779955538,175.30101013183594,2943300
2021-07-15,174.19136748143674,178.20234227996906,174.19136748143674,178.03863525390625,3188000
2021-07-16,179.12097552338503,180.86725327681867,178.1023169700942,178.3933563232422,4920700
2021-07-19,174.60976065888346,176.14685269125164,172.84528847683202,175.44651794433594,5214000
2021-07-20,175.06292595234655,178.4695759004478,174.59714374242475,177.2822723388672,2882400
2021-07-21,177.69319865482072,178.48777213923168,177.11781016695133,178.2137908935547,2112900
2021-07-22,179.10886791903965,179.8851854472184,177.90329443094706,179.71165466308594,3244100
2021-07-23,180.83501073144788,183.95852288085575,180.4788211162341,183.42880249023438,3358100
2021-07-26,179.2915570488315,180.75285595950632,177.0356843460661,180.59759521484375,3422200
2021-07-27,180.5427773715364,180.57931750754622,174.8894107221515,176.73428344726562,4106100
2021-07-28,176.88042885252563,178.45132035054402,175.35520555981768,175.71139526367188,2152500
2021-07-29,176.49681247576657,177.47405895468162,175.31865101073382,176.83473205566406,2532800
2021-07-30,175.90315717274262,178.3690864172999,175.7387544572513,175.9853515625,2841600
